,coords,col_2,type,nom,dict
961,"[45.766, 5.08543]","[0, 1]",EC,Meyzieu,"{'numero': '3', 'roadname': 'A432'}"
962,"[45.8442, 5.07041]","[0.912905, 0.408171]",AS,Lyon Dagneux,{'roadname': 'A42'}
963,"[45.8442, 5.07041]","[-0.8078869999999999, -0.589337]",AS,Lyon Montluel,{'roadname': 'A42'}
964,"[45.8528, 5.09631]","[0, 1]",EC,Balan,"{'numero': '6', 'roadname': 'A42'}"
965,"[45.8623, 5.17723]","[0, 1]",EC,P&eacute;rouges,"{'numero': '7', 'roadname': 'A42'}"
966,"[45.9097, 5.24272]","[0.666532, 0.7454759999999999]",AR,Chazey sur Ain,{'roadname': 'A42'}
967,"[45.9097, 5.24272]","[-0.6390359999999999, -0.769177]",AR,Les Brotteaux,{'roadname': 'A42'}
968,"[46.2789, 4.98353]","[0.9481569999999999, -0.317801]",AR,Les Planons,{'roadname': 'A40'}
969,"[46.2789, 4.98353]","[-0.9136869999999999, 0.406418]",AR,Mus&eacute;e de la Bresse,{'roadname': 'A40'}
970,"[46.2718, 5.0181]","[0, 1]",EC,Saint Genis,"{'numero': '4', 'roadname': 'A40'}"
971,"[46.2524, 5.25624]","[0, 1]",BI,Jonction A39/A40,{'roadname': 'A39'}
972,"[46.2617, 5.16343]","[0, 1]",EC,Bourg en Bresse Nord,"{'numero': '5', 'roadname': 'A40'}"
973,"[46.3105, 5.2609200000000005]","[0.35053399999999996, 0.9365500000000001]",AR,Beny,{'roadname': 'A39'}
974,"[46.3105, 5.2609200000000005]","[-0.30469799999999997, -0.952449]",AR,Marmont,{'roadname': 'A39'}
975,"[44.9084, 5.62623]","[0, 1]",LI,Col du Fau,{'roadname': 'A51'}
976,"[44.962, 5.6481200000000005]","[0.7071069999999999, -0.7071069999999999]",AR,Les Jaillets,{'roadname': 'A51'}
977,"[44.962, 5.6481200000000005]","[-0.7071069999999999, 0.7071069999999999]",AR,Les Marceaux,{'roadname': 'A51'}
978,"[44.9604, 5.65062]","[0, 1]",EC,Monteynard,"{'numero': '13', 'roadname': 'A51'}"
979,"[45.1359, 5.32505]","[0, 1]",EC,Saint Marcellin,"{'numero': '9', 'roadname': 'A49'}"
980,"[45.0455, 5.67884]","[-0.906308, -0.422618]",BA,Barri&egrave;re de Le Crozet,{'roadname': 'A51'}
981,"[45.0864, 5.6715800000000005]","[0, 1]",EC,Saint Paul de Varces,"{'numero': '11', 'roadname': 'A51'}"
982,"[45.0759, 5.67958]","[0, 1]",EC,Vif,"{'numero': '12', 'roadname': 'A51'}"
983,"[45.1357, 5.69037]","[0, 1]",EC,Pont-De-Claix,"{'numero': '7', 'roadname': 'A480'}"
984,"[45.1299, 5.69064]","[0, 1]",EC,Jonction A480/N85 (Rives du Drac),"{'numero': '8', 'roadname': 'A480'}"
985,"[45.1199, 5.6867]","[0, 1]",EC,Claix,"{'numero': '9', 'roadname': 'A480'}"
986,"[45.1104, 5.68101]","[0, 1]",EC,Varces,"{'numero': '10', 'roadname': 'A480'}"
987,"[45.1592, 5.36173]","[0.528142, 0.8491559999999999]",AR,Chambaran,{'roadname': 'A49'}
988,"[45.1592, 5.36173]","[-0.622378, -0.782717]",AR,Saint Sauveur,{'roadname': 'A49'}
989,"[45.2085, 5.4549]","[0.874958, 0.484199]",AR,l&apos;Albenc,{'roadname': 'A49'}
990,"[45.1981, 5.4227]","[0, 1]",EC,Vinay,"{'numero': '10', 'roadname': 'A49'}"
991,"[45.2093, 5.68612]","[0, 1]",EC,Z.I. - centre Etudes Nuclaires,"{'numero': '1', 'roadname': 'A480'}"
992,"[45.1897, 5.70264]","[0, 1]",EC,Vercors-Eslangon,"{'numero': '2', 'roadname': 'A480'}"
993,"[45.18, 5.70233]","[0, 1]",EC,Catane,"{'numero': '3', 'roadname': 'A480'}"
994,"[45.168, 5.70176]","[0, 1]",EC,Louise-Michel,"{'numero': '4', 'roadname': 'A480'}"
995,"[45.1587, 5.70118]","[0, 1]",EC,Jonction A480/N87 (Le Rondeau),"{'numero': '5', 'roadname': 'A480'}"
996,"[45.1501, 5.69657]","[0, 1]",EC,Echirolles - Comboire,"{'numero': '6', 'roadname': 'A480'}"
997,"[45.2139, 5.68341]","[0, 1]",BI,Jonction A48/A480/N481,{'roadname': 'A480'}
998,"[45.2139, 5.68343]","[0, 1]",BI,Jonction A48/A480/N481,{'roadname': 'A48'}
999,"[45.243, 5.49977]","[-0.30669199999999996, -0.9518089999999999]",AR,Polienas,{'roadname': 'A49'}
1000,"[45.2847, 5.52384]","[0, 1]",EC,Tullins,"{'numero': '11', 'roadname': 'A49'}"
1001,"[45.2776, 5.6236]","[0.156779, -0.9876339999999999]",AS,l&apos;Ile Rose,{'roadname': 'A48'}
1002,"[45.2776, 5.6236]","[-0.21575799999999998, 0.976447]",AS,Voreppe,{'roadname': 'A48'}
1003,"[45.2832, 5.62169]","[0.173648, -0.9848079999999999]",BA,Barri&egrave;re de Voreppe,{'roadname': 'A48'}
1004,"[45.237, 5.66206]","[0, 1]",EC,Saint Egreve,"{'numero': '14', 'roadname': 'A48'}"
1005,"[45.2725, 5.62595]","[0, 1]",EC,Veurey,"{'numero': '12', 'roadname': 'A48'}"
1006,"[45.4257, 5.43617]","[0.906308, -0.422618]",AR,Burcin,{'roadname': 'A48'}
1007,"[45.4246, 5.44201]","[-0.906308, 0.422618]",AR,Oyeu,{'roadname': 'A48'}
1008,"[45.3875, 5.47226]","[0, 1]",EC,Rives,"{'numero': '9', 'roadname': 'A48'}"
1009,"[45.3654, 5.50813]","[0.7381019999999999, -0.674689]",AR,Le Ch&acirc;telard,{'roadname': 'A48'}
1010,"[45.3654, 5.50813]","[-0.56367, 0.8260000000000001]",AR,R&eacute;aumont,{'roadname': 'A48'}
1011,"[45.3454, 5.56287]","[0, 1]",EC,Voiron,"{'numero': '10', 'roadname': 'A48'}"
1012,"[45.3191, 5.60869]","[0, 1]",EC,Moirans,"{'numero': '11', 'roadname': 'A48'}"
1013,"[45.2976, 5.6212]","[0, 1]",BI,Jonction A48/A49,{'roadname': 'A48'}
1014,"[45.2976, 5.62121]","[0, 1]",BI,Jonction A48/A49,{'roadname': 'A49'}
1015,"[45.2007, 5.75907]","[0, 1]",EC,La Carronnerie,{'roadname': 'A41S'}
1016,"[45.2062, 5.79255]","[0, 1]",EC,Meylan ZIRST,"{'numero': '26', 'roadname': 'A41S'}"
1017,"[45.2045, 5.7831600000000005]","[0, 1]",BI,Jonction A41/RN87,{'roadname': 'A41S'}
1018,"[45.2229, 5.82178]","[0, 1]",EC,Montbonnot,"{'numero': '25', 'roadname': 'A41S'}"
1019,"[45.247, 5.86793]","[-0.6089, -0.7932469999999999]",AS,Bois Claret,{'roadname': 'A41S'}
1020,"[45.2444, 5.86184]","[0.8459139999999999, 0.533319]",AS,Saint Nazaire les Eymes,{'roadname': 'A4S'}
1021,"[45.2718, 5.9007000000000005]","[-0.573576, -0.819152]",BA,Barri&egrave;re de Crolles,{'roadname': 'A41S'}
1022,"[45.2718, 5.9007000000000005]","[0.573576, 0.819152]",BA,Barri&egrave;re de Crolles,{'roadname': 'A41S'}
1023,"[45.2675, 5.89614]","[0, 1]",EC,Brignoud,"{'numero': '24', 'roadname': 'A41S'}"
1024,"[45.2675, 5.89614]","[0, 1]",EC,Brignoud,"{'numero': '24', 'roadname': 'A41S'}"
1025,"[45.24, 5.84718]","[0, 1]",EC,La B&acirc;tie,"{'numero': '24.1', 'roadname': 'A41S'}"
1026,"[45.3247, 5.95204]","[0.553101, 0.8331139999999999]",AR,Chonas,{'roadname': 'A41S'}
1027,"[45.3286, 5.95591]","[-0.5, -0.8660249999999999]",AR,La Terrasse,{'roadname': 'A41S'}
1028,"[45.3445, 5.96568]","[0, 1]",EC,Le Touvet,"{'numero': '23', 'roadname': 'A41S'}"
1029,"[45.4246, 5.9979700000000005]","[0, 1]",EC,Pontcharra,"{'numero': '22', 'roadname': 'A41S'}"
1030,"[45.2455, 6.4229]","[0.965926, -0.25881899999999997]",AS,Rieu Sec,{'roadname': 'A43'}
